KO_EC_NUMBER	Silhouette_Index
K03534-[EC:5.1.3.32]	0.1
K13075-[EC:3.1.1.81]	0.05
K09065-[EC:2.1.3.9]	0.27
K21619-[EC:5.1.2.7]	0.03
K15669-[EC:2.7.7.71]	0.09
K01740-[EC:2.5.1.49]	-0.0
K09758-[EC:4.1.1.12]	0.1
K02822-[EC:2.7.1.194]	-0.03
K10856-[EC:6.4.1.6]	0.24
K01594-[EC:4.1.1.29]	-0.04
K13381-[EC:3.2.1.14]	0.4
K01040-[EC:2.8.3.12]	0.04
K14980-[EC:2.7.13.3]	0.02
K00471-[EC:1.14.11.1]	0.03
K02609-[EC:1.14.13.149]	0.03
K01266-[EC:3.4.11.19]	0.04
K12674-[EC:6.3.3.4]	0.12
K19312-[EC:2.1.3.15]	0.12
K04564-[EC:1.15.1.1]	0.05
K23150-[EC:3.5.1.129]	0.03
K10213-[EC:3.2.2.8]	0.38
K02535-[EC:3.5.1.108]	0.03
K16704-[EC:2.3.1.210]	0.15
K20021-[EC:4.4.1.28]	-0.11
K19966-[EC:3.13.1.4]	-0.17
K01947-[EC:6.3.4.15]	-0.41
K07653-[EC:2.7.13.3]	0.11
K22478-[EC:2.3.1.1]	0.56
K16245-[EC:1.14.13.243]	0.12
K06179-[EC:5.4.99.24]	0.05
K17870-[EC:1.6.3.3]	0.12
K02323-[EC:2.7.7.7]	0.09
K01678-[EC:4.2.1.2]	-0.02
K02079-[EC:3.5.1.25]	0.24
K01301-[EC:3.4.17.21]	0.0
K21672-[EC:1.4.1.12]	-0.02
K11623-[EC:2.7.13.3]	0.18
K10822-[EC:7.4.2.2]	0.06
K02500-[EC:4.3.2.10]	0.09
K16213-[EC:5.1.3.11]	-0.08
K05884-[EC:1.1.1.337]	0.12
K05985-[EC:3.1.26.8]	-0.01
K14941-[EC:2.7.7.68]	0.02
K07537-[EC:4.2.1.100]	0.02
K21624-[EC:4.2.1.171]	0.05
K20215-[EC:2.1.1.98]	0.09
K20954-[EC:2.7.7.65]	0.31
K00273-[EC:1.4.3.3]	0.07
K00632-[EC:2.3.1.16]	0.02
K16877-[EC:1.3.99.8]	0.21
K19551-[EC:4.2.2.10]	0.08
K03478-[EC:3.5.1.105]	0.3
K17994-[EC:1.12.1.3]	-0.02
K01771-[EC:4.6.1.13]	0.08
K05343-[EC:3.2.1.1]	0.02
K13566-[EC:3.5.1.3]	0.01
K01554-[EC:3.6.1.58]	0.02
K18472-[EC:6.4.1.2]	-0.05
K01485-[EC:3.5.4.1]	0.02
K03043-[EC:2.7.7.6]	0.15
K20263-[EC:2.7.13.3]	0.07
K20760-[EC:3.5.5.8]	0.05
K23254-[EC:7.2.2.15]	0.03
K20036-[EC:4.2.1.155]	0.04
K10804-[EC:3.1.2.2]	0.0
K18675-[EC:2.4.1.280]	0.22
K01090-[EC:3.1.3.16]	0.0
K01045-[EC:3.1.1.2]	0.29
K01230-[EC:3.2.1.113]	0.24
K00973-[EC:2.7.7.24]	-0.02
K19737-[EC:2.1.1.320]	-0.01
K11418-[EC:3.5.1.98]	0.32
K13246-[EC:3.1.4.52]	0.19
K05551-[EC:2.3.1.235]	-0.16
K21220-[EC:2.5.1.3]	0.06
K01449-[EC:3.5.1.28]	-0.03
K09761-[EC:2.1.1.193]	0.07
K04835-[EC:4.3.1.2]	0.14
K08094-[EC:5.3.1.27]	0.1
K00773-[EC:2.4.2.29]	0.06
K01610-[EC:4.1.1.49]	0.09
K15868-[EC:6.2.1.7]	0.26
K01358-[EC:3.4.21.92]	0.06
K03389-[EC:1.8.7.3]	0.03
K06209-[EC:5.4.99.5]	0.13
K14165-[EC:3.1.3.48]	0.04
K13378-[EC:7.1.1.2]	0.59
K21606-[EC:3.2.1.202]	0.15
K01151-[EC:3.1.21.2]	-0.0
K04097-[EC:5.3.99.2]	0.01
K00941-[EC:2.7.4.7]	0.19
K03053-[EC:2.7.7.6]	0.11
K00895-[EC:2.7.1.90]	0.13
K00132-[EC:1.2.1.10]	0.02
K04565-[EC:1.15.1.1]	-0.01
K01187-[EC:3.2.1.20]	-0.01
K18978-[EC:1.2.1.90]	0.08
K05929-[EC:2.1.1.103]	-0.27
K21591-[EC:2.7.8.45]	-0.7
K11646-[EC:1.4.1.24]	0.06
K01079-[EC:3.1.3.3]	0.04
K01697-[EC:4.2.1.22]	0.05
K11381-[EC:1.2.4.4]	0.1
K00788-[EC:2.5.1.3]	0.04
K15792-[EC:6.3.2.13]	0.19
K07405-[EC:3.2.1.1]	0.07
K16844-[EC:1.1.1.338]	0.06
K00633-[EC:2.3.1.18]	0.18
K00122-[EC:1.17.1.9]	0.06
K14338-[EC:1.14.14.1]	0.05
K00332-[EC:7.1.1.2]	0.03
K03464-[EC:5.3.3.4]	0.04
K02446-[EC:3.1.3.11]	0.04
K01494-[EC:3.5.4.13]	0.05
K04561-[EC:1.7.2.5]	0.05
K03616-[EC:7.2.1.2]	0.03
K01575-[EC:4.1.1.5]	0.15
K02346-[EC:2.7.7.7]	0.04
K00615-[EC:2.2.1.1]	0.08
K02825-[EC:2.4.2.9]	-0.02
K01253-[EC:3.3.2.9]	0.08
K00097-[EC:1.1.1.262]	-0.01
K00046-[EC:1.1.1.69]	0.08
K01872-[EC:6.1.1.7]	-0.04
K03383-[EC:3.5.2.15]	0.08
K03738-[EC:1.2.7.5]	0.02
K00849-[EC:2.7.1.6]	0.07
K07072-[EC:2.5.1.131]	0.04
K00631-[EC:2.3.1.15]	0.27
K15756-[EC:3.7.1.13]	-0.09
K19072-[EC:1.2.7.10]	0.43
K19300-[EC:2.7.1.95]	0.02
K00523-[EC:1.17.1.1]	-0.01
K01759-[EC:4.4.1.5]	-0.0
K00951-[EC:2.7.6.5]	0.02
K01277-[EC:3.4.14.4]	0.06
K09773-[EC:2.7.4.28]	0.06
K17618-[EC:3.1.3.16]	-0.04
K15038-[EC:1.2.1.76]	0.0
K03767-[EC:5.2.1.8]	0.03
K21021-[EC:2.7.7.65]	0.08
K20959-[EC:2.7.7.65]	0.0
K01191-[EC:3.2.1.24]	0.0
K15241-[EC:1.21.4.5]	0.08
K18427-[EC:4.1.1.83]	0.13
K16898-[EC:3.6.4.12]	0.0
K03823-[EC:2.3.1.183]	0.07
K12956-[EC:7.2.2.8]	-0.45
K01737-[EC:4.1.2.50]	0.04
K14187-[EC:1.3.1.12]	0.3
K15534-[EC:2.4.1.247]	0.21
K08678-[EC:4.1.1.35]	-0.0
K01792-[EC:5.1.3.15]	0.06
K14415-[EC:6.5.1.8]	0.01
K01713-[EC:4.2.1.51]	0.04
K19244-[EC:1.4.1.1]	0.06
K00603-[EC:2.1.2.5]	0.04
K01451-[EC:3.5.1.32]	0.01
K06125-[EC:2.5.1.39]	0.64
K12658-[EC:5.1.1.8]	0.06
K22308-[EC:3.2.1.205]	0.2
K13485-[EC:4.1.1.97]	0.03
K06027-[EC:3.6.4.6]	0.42
K18331-[EC:1.12.1.3]	0.05
K22083-[EC:2.1.1.21]	-0.11
K01452-[EC:3.5.1.41]	0.03
K03657-[EC:3.6.4.12]	0.01
K01709-[EC:4.2.1.45]	-0.08
K20023-[EC:4.2.1.156]	0.14
K02486-[EC:2.7.13.3]	0.03
K13830-[EC:4.2.1.10]	-0.01
K18358-[EC:1.2.1.58]	0.25
K22622-[EC:1.8.2.6]	0.08
K01281-[EC:3.4.14.11]	0.07
K03390-[EC:1.8.98.5]	0.01
K03179-[EC:2.5.1.39]	-0.01
K23094-[EC:2.5.1.130]	0.11
K15855-[EC:3.2.1.165]	0.18
K15023-[EC:2.1.1.258]	0.03
K18126-[EC:2.7.1.178]	0.0
K07700-[EC:2.7.13.3]	0.03
K02028-[EC:7.4.2.1]	-0.03
K21084-[EC:2.7.7.65]	0.09
K01150-[EC:3.1.21.1]	0.21
K00002-[EC:1.1.1.2]	0.11
K08258-[EC:3.4.22.48]	0.35
K00330-[EC:7.1.1.2]	0.1
K17723-[EC:1.3.1.1]	0.18
K01406-[EC:3.4.24.40]	0.05
K10025-[EC:7.4.2.1]	-0.03
K05525-[EC:1.14.14.84]	-0.14
K01160-[EC:3.1.22.4]	0.0
K12508-[EC:6.2.1.34]	0.27
K16246-[EC:1.14.13.243]	0.11
K18649-[EC:3.1.3.93]	0.23
K22270-[EC:1.14.13.24]	0.1
K13875-[EC:4.2.1.25]	-0.16
K01693-[EC:4.2.1.19]	0.0
K06118-[EC:3.13.1.1]	0.07
K19803-[EC:2.7.4.29]	0.24
K19837-[EC:3.5.1.131]	0.09
K01216-[EC:3.2.1.73]	-0.15
K15897-[EC:3.6.1.57]	0.06
K02230-[EC:6.6.1.2]	0.01
K14330-[EC:1.2.1.80]	0.06
K18348-[EC:5.1.1.1]	0.01
K14331-[EC:4.1.99.5]	-0.29
K01834-[EC:5.4.2.11]	0.06
K17994-[EC:1.12.1.5]	-0.02
K00466-[EC:1.13.12.3]	0.1
K00231-[EC:1.3.3.4]	-0.03
K01058-[EC:3.1.1.32]	0.27
K03537-[EC:3.1.26.5]	0.05
K18816-[EC:2.3.1.82]	0.04
K01941-[EC:6.3.4.6]	0.04
K08693-[EC:3.1.3.6]	0.31
K01143-[EC:3.1.11.3]	-0.04
K00865-[EC:2.7.1.165]	-0.04
K03152-[EC:3.5.1.124]	0.08
K02041-[EC:7.3.2.2]	0.07
K20112-[EC:2.7.1.204]	0.06
K16244-[EC:1.14.13.243]	0.1
K00239-[EC:1.3.5.1]	0.06
K12297-[EC:2.1.1.173]	0.09
K01818-[EC:5.3.1.25]	0.22
K18689-[EC:2.7.1.185]	0.13
K18199-[EC:4.2.1.103]	0.01
K02622-[EC:5.6.2.2]	0.12
K19073-[EC:1.3.1.75]	0.06
K11383-[EC:2.7.13.3]	0.11
K16427-[EC:1.13.11.80]	-0.01
K03429-[EC:2.4.1.315]	-0.02
K12251-[EC:3.5.1.53]	0.02
K07029-[EC:2.7.1.107]	0.13
K00315-[EC:1.5.8.4]	0.01
K07778-[EC:2.7.13.3]	-0.06
K02275-[EC:1.9.3.1]	-0.0
K14256-[EC:1.14.13.38]	-0.32
K13550-[EC:2.4.1.284]	0.42
K13019-[EC:5.1.3.23]	0.01
K07160-[EC:3.5.2.9]	0.04
K10944-[EC:1.14.99.39]	0.19
K01574-[EC:4.1.1.4]	0.07
K11751-[EC:3.1.3.5]	0.06
K01491-[EC:1.5.1.5]	-0.02
K01117-[EC:3.1.4.12]	0.5
K17865-[EC:4.2.1.55]	0.01
K01916-[EC:6.3.1.5]	0.2
K05816-[EC:7.6.2.10]	0.07
K22320-[EC:1.1.1.412]	0.05
K16173-[EC:1.3.99.32]	0.02
K01286-[EC:3.4.16.4]	0.03
K20860-[EC:3.1.3.104]	0.01
K20447-[EC:1.17.1.5]	0.02
K07538-[EC:1.1.1.368]	0.09
K02482-[EC:2.7.13.3]	0.07
K22087-[EC:1.5.99.5]	0.0
K18650-[EC:3.2.1.82]	0.09
K15229-[EC:1.4.9.1]	0.03
K07706-[EC:2.7.13.3]	0.14
K21195-[EC:1.14.11.46]	0.11
K17754-[EC:1.1.1.163]	0.25
K00978-[EC:2.7.7.33]	0.14
K00766-[EC:2.4.2.18]	0.03
K03921-[EC:1.14.19.11]	0.05
K21464-[EC:3.4.16.4]	0.06
K02759-[EC:2.7.1.196]	0.0
K01929-[EC:6.3.2.10]	-0.01
K00638-[EC:2.3.1.28]	0.03
K01464-[EC:3.5.2.2]	0.07
K01055-[EC:3.1.1.24]	0.04
K00955-[EC:2.7.1.25]	0.08
K13051-[EC:3.5.1.1]	0.1
K21672-[EC:1.4.1.26]	-0.02
K01356-[EC:3.4.21.88]	0.03
K00456-[EC:1.13.11.20]	0.22
K13830-[EC:2.7.1.71]	-0.01
K15850-[EC:2.7.13.3]	0.11
K07181-[EC:3.1.4.52]	0.4
K20960-[EC:2.7.7.65]	0.02
K18005-[EC:1.12.1.2]	-0.0
K07284-[EC:3.4.22.70]	-0.02
K03079-[EC:5.1.3.22]	0.08
K21684-[EC:1.14.13.209]	0.13
K01609-[EC:4.1.1.48]	-0.01
K20427-[EC:2.7.7.91]	0.07
K11177-[EC:1.17.1.4]	0.0
K14157-[EC:1.5.1.8]	0.02
K18361-[EC:3.1.2.25]	0.04
K19819-[EC:1.5.99.4]	0.17
K00282-[EC:1.4.4.2]	0.09
K21611-[EC:6.3.3.7]	0.2
K18350-[EC:2.7.13.3]	0.02
K01849-[EC:5.4.99.2]	0.06
K01563-[EC:3.8.1.5]	-0.03
K05878-[EC:2.7.1.121]	0.05
K00899-[EC:2.7.1.100]	0.0
K16165-[EC:3.7.1.20]	0.05
K04794-[EC:3.1.1.29]	0.04
K13581-[EC:2.1.1.72]	0.08
K01524-[EC:3.6.1.40]	0.18
K05367-[EC:2.4.1.129]	0.04
K00099-[EC:1.1.1.267]	0.01
K15778-[EC:5.4.2.2]	0.13
K01246-[EC:3.2.2.20]	0.05
K01484-[EC:3.5.3.23]	0.2
K01617-[EC:4.1.1.77]	0.04
K04092-[EC:5.4.99.5]	0.02
K16055-[EC:3.1.3.12]	0.04
K22441-[EC:2.3.1.57]	-0.01
K20433-[EC:2.7.1.214]	0.15
K06074-[EC:7.6.2.8]	0.17
K15232-[EC:6.2.1.18]	-0.02
K01687-[EC:4.2.1.9]	0.04
K04480-[EC:2.1.1.90]	-0.06
K01728-[EC:4.2.2.2]	0.12
K01914-[EC:6.3.1.1]	0.22
K00821-[EC:2.6.1.17]	0.11
K22431-[EC:1.3.1.108]	0.15
K02826-[EC:7.1.1.5]	0.02
K01641-[EC:2.3.3.10]	0.01
K00060-[EC:1.1.1.103]	0.01
K10220-[EC:4.2.1.83]	-0.02
K00534-[EC:1.12.7.2]	-0.01
K22011-[EC:4.99.1.3]	0.04
K10960-[EC:1.3.1.111]	0.0
K07777-[EC:2.7.13.3]	0.04
K19710-[EC:2.7.7.53]	0.07
K11354-[EC:2.7.13.3]	0.13
K00298-[EC:1.5.1.24]	0.04
K14138-[EC:2.3.1.169]	0.07
K00982-[EC:2.7.7.89]	0.04
K08297-[EC:1.3.8.13]	-0.5
K02304-[EC:4.99.1.4]	0.12
K01752-[EC:4.3.1.17]	0.05
K07732-[EC:2.7.1.161]	0.11
K08253-[EC:2.7.10.2]	-0.02
K00772-[EC:2.4.2.28]	-0.04
K22099-[EC:6.3.2.12]	0.32
K17060-[EC:2.7.13.3]	-0.23
K16872-[EC:2.3.1.207]	0.14
K06857-[EC:7.3.2.6]	0.0
K20853-[EC:3.2.1.162]	-0.01
K05831-[EC:3.5.1.130]	0.06
K08682-[EC:3.1.4.14]	0.24
K18431-[EC:2.7.7.82]	0.2
K12525-[EC:1.1.1.3]	0.46
K01886-[EC:6.1.1.18]	0.14
K08318-[EC:1.1.1.61]	-0.22
K02293-[EC:1.3.5.5]	-0.17
K16244-[EC:1.14.13.244]	0.1
K05895-[EC:1.3.1.106]	0.06
K02611-[EC:1.14.13.149]	0.01
K10021-[EC:7.4.2.1]	0.02
K16055-[EC:2.4.1.15]	0.04
K19702-[EC:3.4.11.24]	0.04
K20832-[EC:3.2.1.181]	-0.02
K00390-[EC:1.8.4.8]	0.0
K02799-[EC:2.7.1.197]	0.14
K20436-[EC:2.5.1.135]	0.15
K03896-[EC:2.3.1.102]	0.02
K09680-[EC:2.7.1.33]	0.06
K22468-[EC:2.7.4.1]	0.04
K21514-[EC:2.1.1.208]	0.04
K15765-[EC:1.18.1.3]	-0.07
K13292-[EC:2.5.1.145]	0.02
K10709-[EC:5.1.3.41]	0.0
K06183-[EC:5.4.99.19]	0.11
K17464-[EC:2.7.1.203]	-0.01
K00948-[EC:2.7.6.1]	0.03
K21219-[EC:2.7.4.7]	0.0
K15944-[EC:1.1.1.362]	0.05
K07116-[EC:3.5.1.97]	0.06
K00518-[EC:1.15.1.1]	0.06
K09913-[EC:2.4.2.2]	0.11
K11527-[EC:2.7.13.3]	0.03
K01908-[EC:6.2.1.17]	0.01
K10960-[EC:1.3.1.83]	0.0
K22224-[EC:6.2.1.13]	0.03
K01825-[EC:4.2.1.17]	0.24
K17743-[EC:1.1.1.307]	-0.02
K22394-[EC:1.5.1.36]	-0.22
K12294-[EC:2.7.13.3]	0.1
K00411-[EC:7.1.1.8]	0.13
K15358-[EC:3.5.2.18]	0.31
K23231-[EC:1.1.1.201]	0.42
K11927-[EC:3.6.4.13]	0.02
K00688-[EC:2.4.1.1]	-0.06
K19818-[EC:1.5.99.4]	-0.09
K19272-[EC:2.7.1.95]	-0.49
K10854-[EC:6.4.1.6]	0.05
K21822-[EC:1.13.11.82]	0.03
K21307-[EC:1.8.5.6]	0.0
K22874-[EC:1.14.20.9]	0.11
K14982-[EC:2.7.13.3]	0.06
K01401-[EC:3.4.24.29]	0.36
K00768-[EC:2.4.2.21]	0.11
K14580-[EC:1.14.12.12]	-0.34
K18700-[EC:3.1.2.29]	0.12
K14652-[EC:4.1.99.12]	-0.05
K11532-[EC:3.1.3.37]	0.13
K00794-[EC:2.5.1.78]	0.03
K02340-[EC:2.7.7.7]	0.12
K00627-[EC:2.3.1.12]	0.03
K03716-[EC:4.1.99.14]	0.24
K00340-[EC:7.1.1.2]	0.13
K00813-[EC:2.6.1.1]	0.41
K00570-[EC:2.1.1.71]	0.02
K13967-[EC:5.1.3.9]	0.36
K04109-[EC:1.3.7.9]	0.08
K01808-[EC:5.3.1.6]	-0.04
K01480-[EC:3.5.3.11]	0.01
K18364-[EC:4.2.1.80]	0.0
K15792-[EC:6.3.2.10]	0.19
K13017-[EC:2.6.1.98]	0.05
K08255-[EC:1.8.1.14]	0.46
K00135-[EC:1.2.1.20]	0.01
K23169-[EC:6.3.2.53]	0.13
K10817-[EC:2.3.1.94]	-0.04
K03771-[EC:5.2.1.8]	0.01
K00587-[EC:2.1.1.100]	-0.54
K13876-[EC:4.2.1.43]	0.06
K01399-[EC:3.4.24.26]	-0.0
K22457-[EC:2.6.1.14]	-0.07
K17363-[EC:1.3.99.33]	0.13
K22906-[EC:3.7.1.4]	-0.03
K00451-[EC:1.13.11.5]	0.12
K14449-[EC:4.2.1.148]	-0.03
K17884-[EC:2.7.8.39]	0.03
K17228-[EC:1.14.14.35]	-0.01
K01390-[EC:3.4.24.13]	-0.24
K14028-[EC:1.1.2.7]	0.05
K01621-[EC:4.1.2.22]	0.11
K00042-[EC:1.1.1.60]	0.08
K01782-[EC:4.2.1.17]	0.06
K13243-[EC:3.1.4.52]	0.6
K00322-[EC:1.6.1.1]	0.15
K12308-[EC:3.2.1.23]	-0.06
K21576-[EC:1.21.4.2]	0.06
K01493-[EC:3.5.4.12]	0.04
K10208-[EC:2.5.1.96]	0.26
K09458-[EC:2.3.1.179]	0.08
K01843-[EC:5.4.3.2]	0.05
K22956-[EC:2.3.1.184]	0.01
K05523-[EC:4.2.1.130]	-0.04
K04076-[EC:3.4.21.53]	0.52
K21567-[EC:1.19.1.1]	0.02
K17838-[EC:3.5.2.6]	0.05
K10562-[EC:3.6.3.17]	0.03
K03653-[EC:4.2.99.18]	0.06
K05979-[EC:3.1.3.71]	0.01
K07560-[EC:3.1.1.96]	-0.0
K14159-[EC:3.1.26.4]	0.08
K00010-[EC:1.1.1.30]	0.0
K00106-[EC:1.17.3.2]	0.26
K16245-[EC:1.14.13.244]	0.12
K01625-[EC:4.1.3.42]	0.02
K21022-[EC:2.7.7.65]	0.12
K15781-[EC:3.1.3.3]	0.3
K17217-[EC:4.4.1.2]	0.03
K22181-[EC:1.1.98.4]	0.1
K06011-[EC:3.4.24.69]	0.09
K00657-[EC:2.3.1.57]	0.08
K13280-[EC:3.4.21.89]	0.12
K00529-[EC:1.18.1.3]	0.11
K22159-[EC:1.5.98.3]	-0.26
K20713-[EC:4.4.1.33]	0.55
K03851-[EC:2.6.1.77]	0.04
K03981-[EC:5.3.4.1]	0.02
K13540-[EC:2.1.1.130]	0.1
K02278-[EC:3.4.23.43]	0.06
K00167-[EC:1.2.4.4]	0.03
K14256-[EC:1.14.13.234]	-0.32
K01795-[EC:5.1.3.37]	-0.06
K10563-[EC:3.2.2.23]	0.03
K01602-[EC:4.1.1.39]	0.13
K05879-[EC:2.7.1.121]	-0.01
K08319-[EC:1.1.1.411]	0.1
K14252-[EC:1.14.13.233]	-0.02
K00809-[EC:2.5.1.46]	0.13
K22451-[EC:2.4.1.25]	0.1
K10620-[EC:1.3.1.58]	0.11
K21480-[EC:1.14.15.20]	0.02
K22445-[EC:1.2.99.10]	-0.05
K01195-[EC:3.2.1.31]	-0.0
K15373-[EC:1.1.1.313]	-0.02
K10837-[EC:2.7.1.164]	-0.02
K21401-[EC:1.3.99.38]	0.03
K13419-[EC:2.7.11.1]	0.22
K01601-[EC:4.1.1.39]	0.06
K13237-[EC:1.3.1.34]	0.12
K06282-[EC:1.12.99.6]	0.04
K12424-[EC:6.2.1.50]	0.43
K10978-[EC:1.1.1.87]	0.08
K02549-[EC:4.2.1.113]	0.06
K20454-[EC:4.1.3.32]	0.06
K03471-[EC:3.1.26.4]	0.18
K18008-[EC:1.12.2.1]	0.02
K03403-[EC:6.6.1.1]	0.1
K00548-[EC:2.1.1.13]	-0.0
K18383-[EC:4.1.2.41]	0.22
K15750-[EC:1.14.12.18]	0.04
K15864-[EC:1.7.2.1]	0.08
K23384-[EC:4.1.1.115]	0.36
K00821-[EC:2.6.1.11]	0.11
K01820-[EC:5.3.1.14]	0.18
K02527-[EC:2.4.99.12]	-0.01
K04068-[EC:1.97.1.4]	0.05
K04719-[EC:1.13.11.79]	0.17
K07314-[EC:3.1.3.16]	0.27
K01416-[EC:3.4.24.77]	0.06
K13940-[EC:2.7.6.3]	-0.0
K00343-[EC:7.1.1.2]	0.05
K14051-[EC:3.1.4.52]	0.04
K10026-[EC:4.3.99.3]	0.11
K00015-[EC:1.1.1.26]	0.2
K07673-[EC:2.7.13.3]	0.26
K01426-[EC:3.5.1.4]	0.03
K03552-[EC:3.1.22.4]	0.04
K01312-[EC:3.4.21.4]	0.1
K18593-[EC:6.2.1.56]	0.46
K14260-[EC:2.6.1.2]	0.08
K04567-[EC:6.1.1.6]	-0.01
K02190-[EC:4.99.1.3]	0.07
K17468-[EC:4.3.1.29]	0.67
K07130-[EC:3.5.1.9]	0.12
K10780-[EC:1.3.1.104]	-0.03
K23148-[EC:2.7.1.224]	0.14
K14520-[EC:1.14.13.84]	0.02
K18815-[EC:2.3.1.82]	0.3
K04032-[EC:2.5.1.17]	0.05
K17816-[EC:3.6.1.56]	-0.23
K22318-[EC:4.1.1.114]	0.24
K06221-[EC:1.1.1.346]	0.02
K16514-[EC:5.3.2.8]	0.03
K22307-[EC:3.2.1.204]	0.15
K05910-[EC:1.11.1.1]	0.03
K14188-[EC:6.1.1.13]	0.06
K22503-[EC:6.1.1.12]	-0.41
K01883-[EC:6.1.1.16]	0.06
K13658-[EC:2.4.1.251]	0.24
K17224-[EC:3.1.6.20]	0.07
K01223-[EC:3.2.1.86]	-0.01
K01892-[EC:6.1.1.21]	0.01
K09836-[EC:1.14.99.64]	0.14
K03147-[EC:4.1.99.17]	0.02
K20883-[EC:2.4.1.341]	0.67
K00066-[EC:1.1.1.132]	0.18
K01776-[EC:5.1.1.3]	-0.01
K02428-[EC:3.6.1.66]	0.05
K10000-[EC:7.4.2.1]	-0.24
K03685-[EC:3.1.26.3]	0.02
K14519-[EC:1.2.1.4]	0.03
K02480-[EC:2.7.13.3]	0.06
K01953-[EC:6.3.5.4]	-0.0
K13853-[EC:2.5.1.54]	0.03
K01009-[EC:2.7.7.103]	0.18
K06166-[EC:2.7.8.37]	0.17
K18284-[EC:3.2.2.9]	0.0
K01535-[EC:7.1.2.1]	-0.03
K22166-[EC:1.5.98.3]	-0.14
K01623-[EC:4.1.2.13]	0.03
K01469-[EC:3.5.2.9]	0.04
K00499-[EC:1.14.15.7]	0.31
K09459-[EC:4.1.1.82]	0.09
K11198-[EC:2.7.1.195]	0.02
K00604-[EC:2.1.2.9]	0.12
K13747-[EC:4.1.1.96]	0.06
K07179-[EC:2.7.11.1]	0.08
K10217-[EC:1.2.1.85]	0.06
K12234-[EC:6.3.2.31]	0.02
K15011-[EC:2.7.13.3]	0.05
K01091-[EC:3.1.3.18]	0.02
K02760-[EC:2.7.1.205]	-0.01
K01612-[EC:4.1.1.61]	-0.25
K01120-[EC:3.1.4.17]	0.31
K05600-[EC:1.14.12.1]	0.25
K07650-[EC:2.7.13.3]	0.01
K02632-[EC:4.4.1.31]	0.0
K01903-[EC:6.2.1.5]	0.05
K12975-[EC:2.7.8.42]	0.07
K11751-[EC:3.6.1.45]	0.06
K03741-[EC:1.20.4.4]	0.1
K13919-[EC:4.2.1.28]	0.17
K22205-[EC:3.13.1.8]	0.02
K01166-[EC:4.6.1.19]	0.02
K22474-[EC:1.1.5.5]	-0.09
K00230-[EC:1.3.5.3]	0.17
K08096-[EC:3.5.4.29]	0.19
K11072-[EC:7.6.2.11]	0.04
K07516-[EC:1.1.1.35]	0.05
K09123-[EC:4.2.1.171]	0.15
K19049-[EC:4.2.2.5]	-0.02
K22316-[EC:3.1.26.4]	0.1
K12248-[EC:2.4.99.1]	0.04
K01889-[EC:6.1.1.20]	-0.02
K03684-[EC:3.1.13.5]	-0.0
K01048-[EC:3.1.1.5]	0.22
K00278-[EC:1.4.3.16]	0.04
K00464-[EC:1.13.11.75]	0.01
K01840-[EC:5.4.2.8]	0.04
K10012-[EC:2.4.2.53]	0.38
K00651-[EC:2.3.1.31]	0.07
K15972-[EC:1.14.13.200]	0.22
K13010-[EC:2.6.1.102]	-0.0
K16171-[EC:3.7.1.2]	0.02
K01342-[EC:3.4.21.62]	0.08
K09739-[EC:4.1.2.25]	0.06
K00174-[EC:1.2.7.11]	0.1
K01407-[EC:3.4.24.55]	0.26
K07106-[EC:4.2.1.126]	0.01
K06072-[EC:1.14.99.29]	0.28
K00468-[EC:1.13.12.2]	0.1
K20754-[EC:3.4.21.111]	0.01
K01468-[EC:3.5.2.7]	0.26
K07533-[EC:5.2.1.8]	0.05
K01424-[EC:3.5.1.1]	0.02
K00554-[EC:2.1.1.228]	0.06
K01183-[EC:3.2.1.14]	-0.06
K15234-[EC:4.1.3.34]	0.23
K05356-[EC:2.5.1.84]	0.11
K01439-[EC:3.5.1.18]	0.07
K01202-[EC:3.2.1.46]	-0.07
K21731-[EC:1.14.14.108]	-0.21
K01096-[EC:3.1.3.27]	0.39
K01586-[EC:4.1.1.20]	0.07
K01295-[EC:3.4.17.11]	0.02
K18291-[EC:4.2.1.56]	0.09
K08068-[EC:3.2.1.183]	0.17
K02302-[EC:1.3.1.76]	0.03
K18334-[EC:4.2.1.68]	0.12
K00065-[EC:1.1.1.127]	0.07
K10187-[EC:4.2.3.22]	0.01
K04037-[EC:1.3.7.7]	0.33
K01904-[EC:6.2.1.12]	-0.08
K18287-[EC:4.1.2.56]	0.03
K02232-[EC:6.3.5.10]	-0.0
K20973-[EC:2.7.13.3]	-0.2
K03736-[EC:4.3.1.7]	0.01
K22373-[EC:5.1.2.1]	0.03
K01197-[EC:3.2.1.35]	0.12
K01448-[EC:3.5.1.28]	0.16
K00433-[EC:1.11.1.10]	0.02
K00850-[EC:2.7.1.11]	0.1
K19312-[EC:6.4.1.3]	0.12
K16243-[EC:1.14.13.243]	0.2
K02289-[EC:4.4.1.32]	-0.0
K13677-[EC:2.4.1.208]	0.2
K11912-[EC:2.7.11.1]	0.04
K10008-[EC:7.4.2.1]	-0.16
K00218-[EC:1.3.1.33]	0.09
K00970-[EC:2.7.7.19]	0.05
K01252-[EC:6.3.2.14]	0.2
K15228-[EC:1.4.9.1]	0.15
K13015-[EC:1.1.1.136]	0.05
K01652-[EC:2.2.1.6]	-0.02
K00290-[EC:1.5.1.7]	0.04
K01482-[EC:3.5.3.18]	0.03
K02510-[EC:4.1.2.52]	0.03
