KO_EC_NUMBER	Silhouette_Index
K16878-[EC:1.3.99.8]	0.12
K20814-[EC:3.5.1.119]	0.07
K02276-[EC:1.9.3.1]	0.01
K04073-[EC:1.2.1.10]	0.12
K01337-[EC:3.4.21.50]	0.0
K21681-[EC:2.7.7.40]	0.09
K11065-[EC:1.11.1.15]	0.03
K00227-[EC:1.14.19.20]	-0.2
K21578-[EC:1.21.4.4]	-0.09
K18827-[EC:2.7.1.181]	-0.03
K01159-[EC:3.1.22.4]	0.06
K11816-[EC:1.14.13.168]	0.01
K01487-[EC:3.5.4.3]	0.1
K12661-[EC:4.2.1.90]	-0.08
K17880-[EC:2.7.1.119]	0.03
K18118-[EC:2.8.3.18]	0.06
K00348-[EC:7.2.1.1]	0.06
K01875-[EC:6.1.1.11]	0.01
K03389-[EC:1.8.98.6]	0.14
K00151-[EC:1.2.1.60]	0.36
K16317-[EC:2.1.1.257]	0.08
K01777-[EC:5.1.1.4]	0.11
K00982-[EC:2.7.7.42]	0.04
K21071-[EC:2.7.1.11]	0.07
K09457-[EC:1.7.1.13]	0.04
K02527-[EC:2.4.99.13]	-0.01
K01923-[EC:6.3.2.6]	0.03
K03170-[EC:3.6.4.12]	-0.0
K01118-[EC:1.7.1.17]	0.01
K05552-[EC:2.3.1.235]	-0.0
K13038-[EC:4.1.1.36]	0.02
K16843-[EC:1.1.1.310]	0.11
K00175-[EC:1.2.7.3]	-0.03
K00274-[EC:1.4.3.4]	0.14
K00658-[EC:2.3.1.61]	0.01
K07248-[EC:1.2.1.22]	0.05
K01032-[EC:2.8.3.6]	0.03
K00762-[EC:2.4.2.10]	0.04
K21678-[EC:2.5.1.103]	0.22
K01560-[EC:3.8.1.2]	0.08
K01856-[EC:5.5.1.1]	0.05
K21355-[EC:2.4.1.332]	-0.05
K22349-[EC:1.16.3.3]	0.16
K10676-[EC:1.14.13.20]	-0.01
K11333-[EC:1.3.7.15]	-0.22
K01947-[EC:2.7.1.33]	-0.41
K07316-[EC:2.1.1.72]	-0.04
K21024-[EC:3.1.4.52]	-0.19
K18603-[EC:6.4.1.3]	0.74
K00355-[EC:1.6.5.2]	0.01
K03536-[EC:3.1.26.5]	0.07
K22180-[EC:1.1.98.4]	0.01
K22082-[EC:2.1.1.21]	-0.02
K02433-[EC:6.3.5.7]	-0.02
K21310-[EC:2.1.1.334]	0.09
K03040-[EC:2.7.7.6]	0.07
K01744-[EC:4.3.1.1]	0.05
K00605-[EC:2.1.2.10]	0.06
K01457-[EC:3.5.1.54]	0.08
K18119-[EC:1.2.1.76]	-0.04
K13421-[EC:2.4.2.10]	0.08
K03186-[EC:2.5.1.129]	-0.02
K00240-[EC:1.3.5.4]	0.07
K16436-[EC:2.6.1.106]	-0.17
K10187-[EC:4.2.3.75]	0.01
K16217-[EC:2.1.1.255]	-0.05
K15629-[EC:1.11.2.4]	0.05
K05947-[EC:2.4.1.217]	0.04
K22580-[EC:3.1.1.103]	0.27
K03199-[EC:7.4.2.8]	-0.02
K00993-[EC:2.7.8.1]	0.17
K21420-[EC:2.3.2.29]	0.09
K03465-[EC:2.1.1.148]	0.01
K18012-[EC:1.4.1.11]	0.15
K01001-[EC:2.7.8.15]	-0.01
K00621-[EC:2.3.1.4]	-0.08
K00832-[EC:2.6.1.57]	0.08
K00833-[EC:2.6.1.62]	0.06
K18277-[EC:1.14.13.148]	0.12
K09759-[EC:6.1.1.23]	0.05
K01029-[EC:2.8.3.5]	0.08
K18910-[EC:5.1.3.31]	0.03
K16423-[EC:2.6.1.103]	-0.03
K01704-[EC:4.2.1.33]	0.02
K05301-[EC:1.8.2.1]	0.08
K01322-[EC:3.4.21.26]	0.03
K00532-[EC:1.12.7.2]	0.16
K00926-[EC:2.7.2.2]	-0.02
K01933-[EC:6.3.3.1]	-0.02
K07154-[EC:2.7.11.1]	0.08
K04098-[EC:1.13.11.37]	0.03
K18678-[EC:2.7.1.182]	0.18
K03269-[EC:3.6.1.54]	-0.01
K20945-[EC:3.1.3.48]	0.39
K01658-[EC:4.1.3.27]	0.0
K00980-[EC:2.7.7.39]	0.29
K09913-[EC:2.4.2.1]	0.11
K21577-[EC:1.21.4.4]	0.07
K03742-[EC:3.5.1.42]	0.01
K00425-[EC:7.1.1.7]	0.01
K17837-[EC:3.5.2.6]	-0.04
K13546-[EC:4.2.3.124]	0.04
K11942-[EC:5.4.99.13]	0.06
K00580-[EC:2.1.1.86]	0.2
K05581-[EC:7.1.1.2]	-0.04
K23007-[EC:1.1.1.414]	0.25
K14067-[EC:6.2.1.9]	0.04
K09836-[EC:1.14.99.63]	0.14
K02794-[EC:2.7.1.191]	0.02
K01940-[EC:6.3.4.5]	0.04
K03615-[EC:7.2.1.2]	0.14
K22444-[EC:1.14.13.239]	0.35
K09809-[EC:2.7.8.12]	-0.03
K13601-[EC:2.1.1.332]	-0.15
K14287-[EC:2.6.1.88]	0.09
K02343-[EC:2.7.7.7]	0.05
K15226-[EC:1.3.1.78]	0.05
K21064-[EC:3.1.3.104]	0.12
K19302-[EC:3.6.1.27]	0.08
K15497-[EC:7.3.2.6]	0.03
K13550-[EC:2.4.1.283]	0.42
K15066-[EC:2.1.1.341]	0.0
K17222-[EC:2.8.5.2]	0.04
K02495-[EC:1.3.98.3]	0.02
K00697-[EC:2.4.1.347]	0.01
K18474-[EC:5.3.3.14]	-0.05
K09697-[EC:7.2.2.4]	0.1
K03439-[EC:2.1.1.33]	0.06
K19743-[EC:1.5.1.1]	0.1
K04108-[EC:1.3.7.9]	0.05
K02484-[EC:2.7.13.3]	-0.05
K00493-[EC:1.14.14.1]	0.07
K00547-[EC:2.1.1.10]	0.03
K20961-[EC:2.7.7.65]	-0.11
K03614-[EC:7.2.1.2]	0.27
K03474-[EC:2.6.99.2]	0.03
K13810-[EC:5.3.1.9]	0.15
K18688-[EC:6.2.1.42]	0.08
K14448-[EC:1.3.8.12]	0.08
K00484-[EC:1.5.1.36]	0.09
K00957-[EC:2.7.7.4]	0.04
K01425-[EC:3.5.1.2]	0.01
K04090-[EC:1.2.7.8]	0.09
K11216-[EC:2.7.1.189]	0.12
K01935-[EC:6.3.3.3]	0.01
K01470-[EC:3.5.2.10]	0.01
K21681-[EC:1.1.1.405]	0.09
K05368-[EC:1.5.1.41]	0.37
K22250-[EC:3.1.1.76]	0.4
K13927-[EC:2.4.2.52]	0.33
K13934-[EC:2.7.7.66]	0.16
K09834-[EC:5.5.1.24]	0.02
K05882-[EC:1.1.1.91]	0.53
K00912-[EC:2.7.1.130]	0.01
K00052-[EC:1.1.1.85]	0.01
K19793-[EC:2.6.1.108]	-0.06
K02117-[EC:7.1.2.2]	0.1
K04042-[EC:2.7.7.23]	0.06
K11175-[EC:2.1.2.2]	0.04
K00090-[EC:1.1.1.79]	0.09
K13797-[EC:2.7.7.6]	0.54
K07248-[EC:1.2.1.21]	0.05
K12506-[EC:2.7.7.60]	-0.04
K00121-[EC:1.1.1.1]	0.02
K03215-[EC:2.1.1.190]	0.08
K04771-[EC:3.4.21.107]	0.09
K21378-[EC:2.3.1.194]	-0.0
K16899-[EC:3.6.4.12]	0.03
K19355-[EC:3.2.1.78]	0.05
K00824-[EC:2.6.1.21]	-0.01
K02314-[EC:3.6.4.12]	0.05
K22011-[EC:4.99.1.11]	0.04
K01721-[EC:4.2.1.84]	0.04
K17686-[EC:7.2.2.8]	-0.06
K13533-[EC:2.7.13.3]	0.1
K07310-[EC:1.97.1.9]	0.15
K00346-[EC:7.2.1.1]	0.07
K02361-[EC:5.4.4.2]	0.21
K06012-[EC:3.4.24.78]	0.09
K05582-[EC:7.1.1.2]	-0.15
